filepath,score
simple_lang/src/LangKernel/utils.rs,1.0
impcheck/src/writer.rs,1.0
libutf/src/utf16/length_from_latin1.rs,0.0
libutf/src/utf32/length_from_latin1.rs,0.0
jccc/src/testing/main.rs,0.0
libutf/src/utf8/length_from_latin1.rs,0.0
libutf/src/utf32/length_from_utf8.rs,0.0
libutf/src/utf16/length_from_utf32.rs,1.0
impcheck/test/test.rs,1.0
jccc/src/codegen/x86/test_x86.rs,0.0
libutf/src/utf16/length_from_utf8.rs,0.5
impcheck/src/trusted/confirm.rs,1.0
libutf/src/utf32/validate.rs,0.0
murmurhash_c/src/example.rs,1.0
VaultSync/src/src/main.rs,0.0
jccc/src/lexer/test_lexer.rs,0.0
jccc/src/util/test_util.rs,0.0
impcheck/src/trusted/secret.rs,1.0
libutf/src/utf32/convert_to_latin1.rs,0.0
c-aces/src/Channel.rs,0.0
libutf/src/utf8/length_from_utf32.rs,1.0
quadtree/src/point.rs,0.0
Holdem-Odds/src/bucket.rs,0.0
jccc/src/codegen/RISCV/codegen.rs,0.0
kairoCompiler/src/tests/main.rs,0.0
libutf/src/endianness.rs,0.0
libutf/src/ascii/validate.rs,0.0
simple_lang/src/LangKernel/ast.rs,1.0
file2str/src/tests/test_file2str.rs,0.0
libutf/src/utf32/length_from_utf16.rs,0.0
file2str/src/main.rs,1.0
jccc/src/util/test_list.rs,0.0
libutf/src/utf16/convert_to_latin1.rs,0.0
libutf/src/utf8/length_from_utf16.rs,0.0
Holdem-Odds/src/deck.rs,0.0
kairoCompiler/src/token.rs,0.5
quadtree/src/bounds.rs,0.0
libqueue/src/queue.rs,0.0
murmurhash_c/src/murmurhash.rs,0.0
libutf/src/utf16/validate.rs,0.0
libutf/src/utf32/convert_to_utf16.rs,0.0
libutf/src/utf8/convert_to_latin1.rs,1.0
Graph-recogniser/bin/main.rs,1.0
c-aces/src/Common.rs,0.0
kairoCompiler/src/node.rs,0.5
libutf/src/utf16/convert_to_utf32.rs,0.0
jccc/src/testing/test_utils.rs,0.0
VaultSync/src/src/logging/logger.rs,0.0
geofence/src/geofence.rs,1.0
impcheck/src/trusted/main_parse.rs,0.0
libutf/src/utf32/convert_to_utf8.rs,0.5
cissy/test/test_csvline.rs,1.0
impcheck/src/trusted/main_check.rs,0.0
totp/src/main.rs,0.5
